cbsa_id, arena, arena_capacity
42660, "Alaska Airlines Arena", 9268
16980, "Allstate Arena", 17500
19100, "AmericanAirlines Arena", 19600
19100, "American Airlines Center", 20409
36740, "Amway Arena", 17306
42660, "Angel of the Winds Arena", 8149
40900, "ARCO Arena", 17317
35620, "Arthur Ashe Stadium", 23000
41700, "AT&T Center", 18418
26900, "Bankers Life Fieldhouse", 18000
35620, "Barclays Center", 17732
46140, "BOK Center", 17839
47900, "Capital One Arena", 20356
47900, "CareFirst Arena", 4200
47900, "CFG Bank Arena", 14000
41860, "Chase Center", 18064
42660, "Climate Pledge Arena", 18300
19100, "College Park Center", 7000
26420, "Compaq Center", 17071
26900, "Conseco Fieldhouse", 17274
31080, "Crypto.com Arena", 19079
36260, "Dee Event Center", 11592
47900, "EagleBank Arena", 10000
41620, "EnergySolutions Arena", 18186
47900, "Entertainment and Sports Arena", 4200
38060, "Footprint Center", 17071
41700, "Freeman Coliseum", 9800
26900, "Gainbridge Fieldhouse", 18000
31080, "Galen Center", 10258
12060, "Gateway Center Arena @ College Park", 3500
31080, "Great Western Forum", 17505
25540, "Hartford Civic Center", 16294
26900, "Hinkle Fieldhouse", 9100
31080, "Home Depot Center Tennis Stadium", 7000
26900, "Indiana Farmers Coliseum", 6500
42660, "KeyArena", 17072
31080, "Los Angeles Convention Center", 3500
35620, "Madison Square Garden", 19812
29820, "Mandalay Bay Events Center", 12000
12060, "McCamish Pavilion", 8600
29820, "Michelob ULTRA Arena", 12000
38900, "Moda Center", 19393
25540, "Mohegan Sun Arena", 10000
19820, "Palace of Auburn Hills", 22076
12060, "Philips Arena", 17608
38060, "Phoenix Suns Arena", 17071
38060, "PHX Arena", 17071
35620, "Prudential Center", 18711
17460, "Quicken Loans Arena", 20562
35620, "Radio City Musical Hall", 5945
26420, "Reliant Arena", 8000
, "Rogers Arena", 19700
16740, "Spectrum Center", 19077
44060, "Spokane Arena", 11736
31080, "Staples Center", 19079
31080, "STAPLES Center", 19079
12060, "State Farm Arena", 19050
12420, "Strahan Coliseum", 7295
29820, "T-Mobile Arena", 18000
38060, "Talking Stick Resort Arena", 18422
33460, "Target Center", 18798
14460, "TD Garden", 19156
16740, "Time Warner Cable Arena", 19444
26420, "Toyota Center", 18055
16980, "UIC Pavilion", 8000
16980, "United Center", 20917
38060, "US Airways Center", 17071
24340, "Van Andel Arena", 11500
47900, "Verizon Center", 20356
31080, "Walter Pyramid at Long Beach State", 4200
35620, "Westchester County Center", 2300
16980, "Wintrust Arena", 10387
33460, "Xcel Energy Center", 1860
