Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2000,"May 29, 2000",Regular season,Houston Comets,New York Liberty,Compaq Center,Houston,TX,16285,2000-05-29,16285
2000,"May 31, 2000",Regular season,Washington Mystics,Orlando Miracle,Verizon Center,Washington,DC,14421,2000-05-31,14421
2000,"May 31, 2000",Regular season,Minnesota Lynx,Cleveland Rockers,Target Center,Minneapolis,MN,6948,2000-05-31,6948
2000,"May 31, 2000",Regular season,Phoenix Mercury,New York Liberty,US Airways Center,Phoenix,AZ,10540,2000-05-31,10540
2000,"May 31, 2000",Regular season,Sacramento Monarchs,Seattle Storm,ARCO Arena,Sacramento,CA,9103,2000-05-31,9103
2000,"May 31, 2000",Regular season,Portland Fire,Houston Comets,Moda Center,Portland,OR,10277,2000-05-31,10277
2000,"May 31, 2000",Regular season,Los Angeles Sparks,Utah Starzz,Great Western Forum,Los Angeles,CA,6112,2000-05-31,6112
2000,"June 1, 2000",Regular season,Orlando Miracle,Charlotte Sting,Amway Arena,Orlando,FL,6890,2000-06-01,6890
2000,"June 1, 2000",Regular season,Miami Sol,Indiana Fever,AmericanAirlines Arena,Miami,FL,11212,2000-06-01,11212
2000,"June 1, 2000",Regular season,Utah Starzz,Minnesota Lynx,EnergySolutions Arena,Salt Lake City,UT,6488,2000-06-01,6488
2000,"June 1, 2000",Regular season,Seattle Storm,Houston Comets,KeyArena,Seattle,WA,10840,2000-06-01,10840
2000,"June 3, 2000",Regular season,New York Liberty,Utah Starzz,Madison Square Garden,New York,NY,17531,2000-06-03,17531
2000,"June 3, 2000",Regular season,Cleveland Rockers,Washington Mystics,Quicken Loans Arena,Cleveland,OH,10032,2000-06-03,10032
2000,"June 3, 2000",Regular season,Indiana Fever,Orlando Miracle,Conseco Fieldhouse,Indianapolis,IN,12575,2000-06-03,12575
2000,"June 3, 2000",Regular season,Houston Comets,Phoenix Mercury,Compaq Center,Houston,TX,12385,2000-06-03,12385
2000,"June 3, 2000",Regular season,Charlotte Sting,Miami Sol,Time Warner Cable Arena,Charlotte,NC,6632,2000-06-03,6632
2000,"June 3, 2000",Regular season,Detroit Shock,Sacramento Monarchs,Palace of Auburn Hills,Detroit,MI,9835,2000-06-03,9835
2000,"June 3, 2000",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,9381,2000-06-03,9381
2000,"June 3, 2000",Regular season,Seattle Storm,Portland Fire,KeyArena,Seattle,WA,10182,2000-06-03,10182
2000,"June 4, 2000",Regular season,Washington Mystics,New York Liberty,Verizon Center,Washington,DC,15329,2000-06-04,15329
2000,"June 5, 2000",Regular season,Charlotte Sting,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,3410,2000-06-05,3410
2000,"June 5, 2000",Regular season,Orlando Miracle,Sacramento Monarchs,Amway Arena,Orlando,FL,7043,2000-06-05,7043
2000,"June 5, 2000",Regular season,Indiana Fever,Miami Sol,Conseco Fieldhouse,Indianapolis,IN,9505,2000-06-05,9505
2000,"June 5, 2000",Regular season,Minnesota Lynx,Detroit Shock,Target Center,Minneapolis,MN,5816,2000-06-05,5816
